통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","컴퓨터, 전자 및 광학기기","명/십억원","원자료","0.022797","0.016951","0.015284","0.019361"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","전기장비","명/십억원","원자료","0.026988","0.024662","0.023369","0.023399"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","기계 및 장비","명/십억원","원자료","0.018607","0.017805","0.016224","0.014347"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","운송장비","명/십억원","원자료","0.020194","0.017194","0.014407","0.013277"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","기타 제조업 제품","명/십억원","원자료","0.013271","0.01446","0.013676","0.013454"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","제조임가공 및 산업용 장비 수리","명/십억원","원자료","0.310102","0.283911","0.266449","0.286302"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","전력, 가스 및 증기","명/십억원","원자료","0.050373","0.042768","0.038768","0.046976"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","수도, 폐기물처리 및 재활용서비스","명/십억원","원자료","0.101613","0.133486","0.089897","0.083738"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","건설","명/십억원","원자료","0.032664","0.031225","0.022544","0.018274"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","도소매 및 상품중개서비스","명/십억원","원자료","1.056303","0.920927","0.805271","0.788381"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","운송서비스","명/십억원","원자료","0.730678","0.654401","0.55553","0.59116"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","음식점 및 숙박서비스","명/십억원","원자료","0.241114","0.208643","0.201469","0.224962"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","정보통신 및 방송 서비스","명/십억원","원자료","0.103597","0.087013","0.086527","0.093495"
